,Name,Entry No.,TimeStamp,Total Time,Status
122,gsGRzsqqoQ,1543WOK9631,"( 10:58:03 AM,  10:58:08 AM, 0:00:05)( 10:59:07 AM,  12:24:52 PM, 1:25:45)",0 days 01:25:50.000000000,Present
123,hMkYHidXrj,3023BRG7569,"( 11:32:38 AM,  12:25:02 PM, 0:52:24)",0 days 00:52:24.000000000,Present
124,hXcMUMjoQg,2014GOI4381,"( 10:56:12 AM,  10:57:10 AM, 0:00:58)( 11:00:13 AM,  12:14:51 PM, 1:14:38)( 12:16:25 PM,  12:30:00 PM, 0:13:35)",0 days 01:29:11.000000000,Present
125,hiKUPhqnaU,1355VAN6641,"( 11:08:45 AM,  11:14:40 AM, 0:05:55)",0 days 00:05:55.000000000,Absent
126,hqWlmWrifr,9873SVW8121,"( 10:58:43 AM,  10:59:04 AM, 0:00:21)( 10:59:05 AM,  12:25:10 PM, 1:26:05)",0 days 01:26:26.000000000,Present
127,hrKKoVjLHO,7659YZK0470,"( 11:35:43 AM,  12:23:35 PM, 0:47:52)",0 days 00:47:52.000000000,Present
128,htTALNjEuR,4164BEX1348,"( 11:13:09 AM,  11:50:42 AM, 0:37:33)",0 days 00:37:33.000000000,Absent
129,hycmnUTyMi,4581MVL2524,"( 10:57:37 AM,  10:59:03 AM, 0:01:26)( 10:59:04 AM,  12:30:00 PM, 1:30:56)",0 days 01:32:22.000000000,Present
130,isWDpCeoyv,7058BJY2882,"( 11:02:33 AM,  12:24:56 PM, 1:22:23)",0 days 01:22:23.000000000,Present
131,jOMmUhrrum,7441LZC5786,"( 11:00:51 AM,  12:25:04 PM, 1:24:13)",0 days 01:24:13.000000000,Present
132,jsrNooHiGn,9683EBE1780,"( 11:06:52 AM,  12:25:05 PM, 1:18:13)",0 days 01:18:13.000000000,Present
133,kIjIpbKPrG,4776QAL6684,"( 10:57:47 AM,  10:58:09 AM, 0:00:22)",0 days 00:00:22.000000000,Absent
134,kWQxhppYHv,4759JWX7056,"( 11:01:49 AM,  11:37:50 AM, 0:36:01)( 11:38:00 AM,  12:16:12 PM, 0:38:12)( 12:17:57 PM,  12:25:14 PM, 0:07:17)",0 days 01:21:30.000000000,Present
135,koNfxbYTDb,3965HNF7726,"( 11:09:46 AM,  11:46:00 AM, 0:36:14)( 11:46:14 AM,  12:25:16 PM, 0:39:02)",0 days 01:15:16.000000000,Present
136,kokIoYgOcU,,"( 11:05:06 AM,  12:24:57 PM, 1:19:51)",0 days 01:19:51.000000000,Present
137,lKWJATnPgg,6254CUB5022,"( 10:58:49 AM,  10:59:05 AM, 0:00:16)",0 days 00:00:16.000000000,Absent
138,lUrBhzkGRg,0578CYT0326,"( 11:13:00 AM,  11:15:15 AM, 0:02:15)",0 days 00:02:15.000000000,Absent
139,laCHGVZsdO,7088FTO2914,"( 12:22:04 PM,  12:24:57 PM, 0:02:53)",0 days 00:02:53.000000000,Absent
140,mASJVjPfZM,6624JTX8745,"( 11:01:57 AM,  11:37:08 AM, 0:35:11)",0 days 00:35:11.000000000,Absent
141,mPMaCRYgkW,0042UGE9373,"( 11:08:28 AM,  12:24:45 PM, 1:16:17)",0 days 01:16:17.000000000,Present
142,miSfyBecFr,7719MSV8167,"( 11:07:24 AM,  11:56:41 AM, 0:49:17)",0 days 00:49:17.000000000,Present
143,nHMvHmdvia,5795PDI7527,"( 11:02:14 AM,  12:25:03 PM, 1:22:49)",0 days 01:22:49.000000000,Present
144,nOnPNLhICy,7440EOO4030,"( 11:00:01 AM,  11:05:38 AM, 0:05:37)",0 days 00:05:37.000000000,Absent
